epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.111,0,127.695,0,0,0,0,0,0,223.48,0,0.00036,0.00036,0.00036
2,392.686,0,96.1386,0,0,0,0,0,0,298.953,0,0.0006068,0.0006068,0.0006068
